Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP
MIN,DIG_702_GPONA_02,DIG-702_TDCAN_T910C_01_MIN1161,Eth-Trunk6||GE0/2/5(10G)|GE0/2/6(10G),3594,3506,3728,400,-,-,10.175.0.37,-,10.58.192.0/19,10.74.176.0/21
MIN,DVO_001_GPONA_01,DVO_001_TDCAN_T910CG_01_MIN2009,GigabitEthernet0/2/12,1602,695,1605,-,1603,1604,10.81.25.7,-,-,-
MIN,ORQ_001_GPONA_02,OROQUI_TDCAN_T980C_01_MIN853,Eth-Trunk7||GE0/4/1(10G),3595,"3289
4019","3190
3288",400,-,-,10.175.0.49,10.175.0.47,10.57.24.0/22,10.74.70.0/24
NCR,ANT_707_GPONA_01,ANT_707_TDCAN_910CG_01_SL1450,Eth-Trunk4||GE0/2/5(10G),2784,"1700
2563",1481,400,-,-,10.168.56.188,10.168.56.189,10.198.144.0/22,10.202.100.0/24
NCR,RDR_001_GPONA_01,RDR_001_TDCAN_910D_01_SL2102,Eth-Trunk4||GE0/2/6(10G)|GE0/2/7(10G),2775,2994,2995,400,-,-,10.175.105.59,10.175.105.15,100.68.128.0/19,100.113.48.0/21
NCR,TGG_019_GPONA_01,TGG_019_TDCAN_T910D_01_NCR4684,GigabitEthernet0/2/4,3101,2173,3531,-,-,-,10.81.22.25,10.81.22.20,-,-
NCR,MNL_015_VDB_01,MNL_015_TDCAN_T910D_01_NCR7585,Eth-Trunk4||GE0/2/5(10G),3076,"2060
2096",1677,400,-,-,10.198.170.10,10.81.22.18,-,-
NCR,MNL_015_VDB_02,MNL_015_TDCAN_T910D_01_NCR7585,Eth-Trunk4||GE0/2/5(10G),3076,"2060
2096",1677,400,-,-,10.198.170.10,10.81.22.18,-,-
NLZ,BAG_601_GPONA_01,BAG_601_TDCAN_910CG_01_NL1396,Eth-Trunk4||GE0/2/1(10G),2323,1955,318,400,-,-,10.175.27.37,10.168.56.9,10.96.88.0/22,10.100.214.0/24
SLZ,DSM_123_GPONA_01,DSM-123-SL2637-ATN910C-G-01,Eth-Trunk3||GE0/2/4(10G),-,138,798,400,-,-,10.175.52.4,10.81.22.12,100.107.24.0/22,100.123.89.0/24
SLZ,BCR_133_GPONA_02,BCR_133_TDCAN_910D_01_SL2607,Eth-Trunk5||GE0/2/4(10G),3492,1904,1756,400,-,-,10.175.52.66,10.175.52.68,100.102.152.0/22,100.123.38.0/24
SLZ,TRC_704_VDB_01,TRC-704-SL2960-ATN910C-01,Eth-Trunk3||GE0/2/13|GE0/2/14,3462,449,748,400,-,-,10.168.56.72,10.175.52.56,100.92.215.64/26,100.119.47.208/28
VIS,TSY_703_GPONA_01,TSY_703_TDCAN_T910C_01_VIS1825,Eth-Trunk4||GE0/2/4(10G)|GE0/2/21|GE0/2/22,1658,"459
3280",520,400,-,-,10.168.56.212,10.175.77.14,-,-
VIS,DAL_701_GPONA_01,DAL-701-VIS1833-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),4003,"3260
3782","1835
1835",400,-,-,10.81.25.33,10.81.25.35,100.70.158.0/25,100.113.167.64/27
VIS,TAL_102_GPONA_01,TAL_102_TDCAN_T910D_01_VIS2146,Eth-Trunk4||25GE0/2/12(1G),1064,3782,1067,400,1065,1066,10.81.25.2,10.168.56.250,100.66.204.0/22,100.112.179.0/24
VIS,PTV_001_GPONA_02,PONTEV_TDCAN_T950D_01_VIS822,Eth-Trunk8||GE0/4/1(10G),1803,1886,"869
1246",400,-,-,10.175.77.18,10.175.77.17,10.83.48.0/22,10.100.10.0/24
VIS,SBN_001_GPONA_02,SIBULA_TDCAN_T980C_01_VIS842,Eth-Trunk8||GE0/3/1(10G),3765,3289,"869
1246",400,-,-,10.175.77.19,10.175.77.18,10.65.0.0/19,10.75.192.0/21
VIS,CEB_011_GPONA_01,LAHUG-VIS148-AGGFN-X8-02,GigabitEthernet6/0/7,1606,"492
3212",1607,400,1330,1331,-,-,10.3.204.0/22,10.119.243.0/24
VIS,CEB_009_GPONA_01,LAHUG-VIS148-AGGFN-X8-02,GigabitEthernet6/0/7,1606,"492
3212",1607,400,1330,1331,-,-,10.3.204.0/22,10.119.243.0/24
